TOP 5:
word:        bullying; TF: 0.000014; IDF: 1.871802; TF-IDF: 0.000026
word:      statements; TF: 0.000014; IDF: 0.080043; TF-IDF: 0.000001
word:     appearances; TF: 0.000007; IDF: 0.773190; TF-IDF: 0.000005
word:           locks; TF: 0.000028; IDF: 1.178655; TF-IDF: 0.000033
word:         virtues; TF: 0.000014; IDF: 0.619039; TF-IDF: 0.000009
word:         adorned; TF: 0.000007; IDF: 0.773190; TF-IDF: 0.000005
word:         renamed; TF: 0.000007; IDF: 0.080043; TF-IDF: 0.000001
word:           futur; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:       fastening; TF: 0.000014; IDF: 0.773190; TF-IDF: 0.000011
word:         despoil; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:        included; TF: 0.000057; IDF: 0.000000; TF-IDF: 0.000000
word:        includes; TF: 0.000014; IDF: 0.080043; TF-IDF: 0.000001
word:           birth; TF: 0.000028; IDF: 0.485508; TF-IDF: 0.000014
word:          rubbed; TF: 0.000021; IDF: 0.367725; TF-IDF: 0.000008
word:           slave; TF: 0.000021; IDF: 0.619039; TF-IDF: 0.000013
word:         pincers; TF: 0.000007; IDF: 0.955511; TF-IDF: 0.000007
word:       demeanour; TF: 0.000014; IDF: 1.178655; TF-IDF: 0.000017
word:       ourselves; TF: 0.000035; IDF: 0.080043; TF-IDF: 0.000003
word:       releasing; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:     perspective; TF: 0.000014; IDF: 1.178655; TF-IDF: 0.000017
word:        swearers; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:       inquiries; TF: 0.000021; IDF: 0.619039; TF-IDF: 0.000013
word:       commenced; TF: 0.000007; IDF: 0.955511; TF-IDF: 0.000007
word:           rains; TF: 0.000021; IDF: 1.178655; TF-IDF: 0.000025
word:         vehicle; TF: 0.000028; IDF: 1.178655; TF-IDF: 0.000033
word:           rainy; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:       commences; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:          period; TF: 0.000049; IDF: 0.619039; TF-IDF: 0.000031
word:          kennel; TF: 0.000014; IDF: 1.871802; TF-IDF: 0.000026
word:          thrive; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:         gateway; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:       hesitated; TF: 0.000014; IDF: 0.485508; TF-IDF: 0.000007
word:       throttled; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:       depressed; TF: 0.000021; IDF: 0.773190; TF-IDF: 0.000016
word:         fastest; TF: 0.000014; IDF: 2.564949; TF-IDF: 0.000036
word:       emergence; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:         billets; TF: 0.000014; IDF: 1.871802; TF-IDF: 0.000026
word:         despond; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:         lodging; TF: 0.000042; IDF: 0.773190; TF-IDF: 0.000033
word:       emergency; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:         butcher; TF: 0.000007; IDF: 0.619039; TF-IDF: 0.000004
word:         adopted; TF: 0.000007; IDF: 0.619039; TF-IDF: 0.000004
word:            ajar; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:      aristocrat; TF: 0.000071; IDF: 1.178655; TF-IDF: 0.000083
word:  eccentricities; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:          demand; TF: 0.000042; IDF: 0.080043; TF-IDF: 0.000003
word:       besmeared; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:          lesser; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:          perish; TF: 0.000021; IDF: 1.466337; TF-IDF: 0.000031
word:           raise; TF: 0.000071; IDF: 0.262364; TF-IDF: 0.000019
word:        examined; TF: 0.000078; IDF: 0.367725; TF-IDF: 0.000029
word:        disciple; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:      decoration; TF: 0.000035; IDF: 0.955511; TF-IDF: 0.000034
word:         beggars; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:       insulters; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:         protect; TF: 0.000021; IDF: 0.080043; TF-IDF: 0.000002
word:         charles; TF: 0.000728; IDF: 0.485508; TF-IDF: 0.000353
word:           wrung; TF: 0.000035; IDF: 0.773190; TF-IDF: 0.000027
word:       chocolate; TF: 0.000078; IDF: 1.178655; TF-IDF: 0.000092
