TOP 5:
word:            liar; TF: 0.000017; IDF: 0.773190; TF-IDF: 0.000013
word:          cancer; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:        grinding; TF: 0.000017; IDF: 1.178655; TF-IDF: 0.000020
word:            lick; TF: 0.000050; IDF: 0.773190; TF-IDF: 0.000038
word:     declaration; TF: 0.000017; IDF: 0.955511; TF-IDF: 0.000016
word:         feather; TF: 0.000066; IDF: 0.262364; TF-IDF: 0.000017
word:          entire; TF: 0.000008; IDF: 0.262364; TF-IDF: 0.000002
word:          poetry; TF: 0.000066; IDF: 0.619039; TF-IDF: 0.000041
word:       recommend; TF: 0.000025; IDF: 0.485508; TF-IDF: 0.000012
word:        unfurled; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:       whittling; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:       unselfish; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:          dashes; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:          calico; TF: 0.000075; IDF: 1.466337; TF-IDF: 0.000109
word:            lies; TF: 0.000066; IDF: 0.485508; TF-IDF: 0.000032
word:            lieu; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
word:       moccasins; TF: 0.000025; IDF: 1.466337; TF-IDF: 0.000036
word:            life; TF: 0.000257; IDF: 0.080043; TF-IDF: 0.000021
word:         vanilla; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
word:            lift; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:        warnings; TF: 0.000017; IDF: 0.773190; TF-IDF: 0.000013
word:     providences; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:           never; TF: 0.001788; IDF: 0.080043; TF-IDF: 0.000143
word:         glaring; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:          entity; TF: 0.000025; IDF: 0.080043; TF-IDF: 0.000002
word:            jobs; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:        missouri; TF: 0.000075; IDF: 1.466337; TF-IDF: 0.000109
word:           gangs; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:           lived; TF: 0.000132; IDF: 0.080043; TF-IDF: 0.000011
word:           lives; TF: 0.000075; IDF: 0.080043; TF-IDF: 0.000006
word:       mountains; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:        glancing; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:        bleeding; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:            yard; TF: 0.000091; IDF: 0.367725; TF-IDF: 0.000033
word:            yarn; TF: 0.000050; IDF: 2.564949; TF-IDF: 0.000127
word:        grieving; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:      flittering; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:            cent; TF: 0.000050; IDF: 0.619039; TF-IDF: 0.000031
word:        bedstead; TF: 0.000017; IDF: 1.466337; TF-IDF: 0.000024
word:            like; TF: 0.002269; IDF: 0.080043; TF-IDF: 0.000182
word:           fatch; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:         replace; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:            limb; TF: 0.000025; IDF: 0.773190; TF-IDF: 0.000019
word:      celebrated; TF: 0.000025; IDF: 0.619039; TF-IDF: 0.000015
word:           livin; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:         deserve; TF: 0.000025; IDF: 0.619039; TF-IDF: 0.000015
word:  discrimination; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:            line; TF: 0.000224; IDF: 0.080043; TF-IDF: 0.000018
word:            john; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:            link; TF: 0.000017; IDF: 0.619039; TF-IDF: 0.000010
word:         implied; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
