TOP 5:
word:           heads; TF: 0.000329; IDF: 0.167054; TF-IDF: 0.000055
word:         michael; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:         folding; TF: 0.000033; IDF: 0.955511; TF-IDF: 0.000031
word:       longitude; TF: 0.000066; IDF: 2.564949; TF-IDF: 0.000169
word:        shedding; TF: 0.000033; IDF: 1.178655; TF-IDF: 0.000039
word:          softly; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000020
word:         yawning; TF: 0.000066; IDF: 0.619039; TF-IDF: 0.000041
word:          shiver; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000020
word:          ravens; TF: 0.000033; IDF: 2.564949; TF-IDF: 0.000084
word:         minding; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000048
