TOP 5:
word:           abode; TF: 0.000064; IDF: 0.955511; TF-IDF: 0.000061
word:           boast; TF: 0.000087; IDF: 0.619039; TF-IDF: 0.000054
word:          surest; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000009
word:          lesson; TF: 0.000016; IDF: 0.619039; TF-IDF: 0.000010
word:     serviceable; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:      proportion; TF: 0.000032; IDF: 0.955511; TF-IDF: 0.000030
word:      invariably; TF: 0.000016; IDF: 0.262364; TF-IDF: 0.000004
word:        courtesy; TF: 0.000016; IDF: 0.619039; TF-IDF: 0.000010
word:        renewing; TF: 0.000016; IDF: 1.871802; TF-IDF: 0.000030
word:    superintends; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:           pause; TF: 0.000143; IDF: 0.367725; TF-IDF: 0.000053
word:        strength; TF: 0.000048; IDF: 0.080043; TF-IDF: 0.000004
word:      settlement; TF: 0.000016; IDF: 0.773190; TF-IDF: 0.000012
word:         totally; TF: 0.000064; IDF: 0.955511; TF-IDF: 0.000061
word:       captivate; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000009
word:       somewhere; TF: 0.000032; IDF: 0.080043; TF-IDF: 0.000003
word:         protest; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:       cordially; TF: 0.000024; IDF: 0.955511; TF-IDF: 0.000023
word:      monotonous; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:    constitution; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000009
word:        provoked; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
word:     overflowing; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000009
word:        blenheim; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000020
word:    advantageous; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:           sadly; TF: 0.000016; IDF: 0.485508; TF-IDF: 0.000008
word:       flattered; TF: 0.000056; IDF: 0.619039; TF-IDF: 0.000034
word:     stateliness; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:           rules; TF: 0.000079; IDF: 0.080043; TF-IDF: 0.000006
word:        involved; TF: 0.000024; IDF: 0.367725; TF-IDF: 0.000009
word:        complete; TF: 0.000064; IDF: 0.167054; TF-IDF: 0.000011
word:        involves; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:     exceedingly; TF: 0.000207; IDF: 0.619039; TF-IDF: 0.000128
word:          waking; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:    watchfulness; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:         opinion; TF: 0.000540; IDF: 0.080043; TF-IDF: 0.000043
word:     preparation; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:           about; TF: 0.001033; IDF: 0.080043; TF-IDF: 0.000083
word:           above; TF: 0.000167; IDF: 0.080043; TF-IDF: 0.000013
word:        gardener; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:    housekeeping; TF: 0.000024; IDF: 0.619039; TF-IDF: 0.000015
word:      proficient; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:            http; TF: 0.000064; IDF: 0.080043; TF-IDF: 0.000005
word:         impulse; TF: 0.000024; IDF: 0.367725; TF-IDF: 0.000009
word:       extensive; TF: 0.000032; IDF: 1.466337; TF-IDF: 0.000047
word:        formerly; TF: 0.000056; IDF: 0.485508; TF-IDF: 0.000027
word:       commended; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:  ungraciousness; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:      refreshing; TF: 0.000016; IDF: 1.871802; TF-IDF: 0.000030
word:        unfolded; TF: 0.000040; IDF: 0.773190; TF-IDF: 0.000031
word:     declaration; TF: 0.000040; IDF: 0.955511; TF-IDF: 0.000038
word:        goodwill; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:   comparatively; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
word:         insists; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:      disrespect; TF: 0.000016; IDF: 2.564949; TF-IDF: 0.000041
word:       anonymous; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:         figures; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:         feather; TF: 0.000008; IDF: 0.262364; TF-IDF: 0.000002
word:      henceforth; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:          poetry; TF: 0.000016; IDF: 0.619039; TF-IDF: 0.000010
word:       recommend; TF: 0.000095; IDF: 0.485508; TF-IDF: 0.000046
word:          calico; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:            lies; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:            lieu; TF: 0.000032; IDF: 0.080043; TF-IDF: 0.000003
word:            life; TF: 0.000453; IDF: 0.080043; TF-IDF: 0.000036
word:         vanilla; TF: 0.000016; IDF: 0.080043; TF-IDF: 0.000001
word:            lift; TF: 0.000032; IDF: 0.367725; TF-IDF: 0.000012
word:    unreasonable; TF: 0.000056; IDF: 0.955511; TF-IDF: 0.000053
word:           never; TF: 0.001827; IDF: 0.080043; TF-IDF: 0.000146
word:          entity; TF: 0.000024; IDF: 0.080043; TF-IDF: 0.000002
word:    unreasonably; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000020
word:       matrimony; TF: 0.000048; IDF: 1.466337; TF-IDF: 0.000070
word:           lived; TF: 0.000111; IDF: 0.080043; TF-IDF: 0.000009
word:    overhearings; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:           lives; TF: 0.000032; IDF: 0.080043; TF-IDF: 0.000003
word:       mountains; TF: 0.000016; IDF: 0.485508; TF-IDF: 0.000008
word:        glancing; TF: 0.000032; IDF: 0.367725; TF-IDF: 0.000012
word:       gardiners; TF: 0.000048; IDF: 2.564949; TF-IDF: 0.000122
